TimeStamp,M_E,RSE,WHE,B1E,B2E,BME,CDE,CWE,DNE,DWE,EBE,EQE,FGE,FRE,GRE,HPE,HTE,OFE,OUE,TVE,UTE,WOE
1333357200,1113,90,1023,1,8,7,0,0,0,0,0,41,22,108,2,711,6,18,0,39,11,0
1333360800,1334,91,1243,0,8,7,1,0,0,0,0,40,183,107,1,754,6,17,0,38,10,0
1333364400,1163,91,1072,1,8,7,0,0,0,0,0,40,46,109,1,739,5,18,0,39,10,0
1333368000,892,90,802,0,8,7,1,0,0,0,0,41,40,106,1,460,5,17,0,39,11,0
1333371600,1462,424,1038,0,8,7,0,0,0,0,0,40,59,108,1,683,8,17,0,38,9,0
1333375200,1398,90,1308,1,12,11,1,0,0,0,0,40,39,107,1,887,5,18,0,39,10,0
1333378800,1657,90,1567,0,12,417,0,0,0,0,0,40,20,107,1,769,7,17,0,39,10,0
1333382400,929,89,840,0,8,34,0,0,0,0,0,40,80,106,2,85,9,17,0,39,10,0
1333386000,1245,90,1155,1,39,7,1,0,0,0,0,40,40,106,1,538,13,27,0,38,9,0
1333389600,605,88,517,0,7,27,0,64,0,0,0,40,64,105,1,41,8,18,0,39,10,0
1333393200,1114,86,1028,1,7,7,1,132,0,0,0,40,24,107,1,577,4,17,1,39,10,0
1333396800,499,100,399,0,7,7,0,0,0,0,0,40,47,105,1,36,5,27,0,38,9,0
1333400400,781,193,588,0,7,7,1,0,0,0,0,40,52,106,1,246,5,18,0,39,11,0
1333404000,899,296,603,1,7,7,0,0,0,0,0,40,22,107,2,294,8,17,0,39,9,0
1333407600,1447,209,1238,0,7,228,1,0,0,0,0,40,52,107,1,497,6,18,0,197,10,0
1333411200,741,376,365,0,8,7,0,0,0,0,0,40,48,105,1,30,10,17,0,44,10,0
1333414800,1577,690,887,1,12,7,2,0,0,0,0,40,19,107,4,418,9,18,0,39,9,0
1333418400,2828,150,2678,45,56,7,1596,0,0,0,0,40,60,105,1,36,8,45,0,39,9,0
1333422000,840,110,730,19,76,9,1,0,0,0,0,40,51,105,1,36,12,17,0,38,10,0
1333425600,770,109,661,0,74,13,0,0,0,0,0,40,21,105,1,36,16,17,0,42,10,0
1333429200,2208,108,2100,0,60,254,1,0,0,0,0,40,53,110,1,857,5,108,0,206,9,0
1333432800,1471,243,1228,1,21,227,0,0,0,0,0,41,46,107,2,319,8,55,0,183,10,0
1333436400,1179,95,1084,0,15,8,1,0,0,0,0,40,19,110,1,737,5,16,0,39,11,0
1333440000,969,89,880,0,8,7,0,0,0,0,0,41,58,109,1,535,5,17,0,38,10,0
1333443600,631,87,544,1,8,7,1,0,0,0,0,40,41,108,1,200,6,16,0,39,11,0
1333447200,1155,85,1070,0,7,7,0,0,0,0,0,40,20,110,1,758,5,17,0,39,10,0
1333450800,1085,89,996,1,8,7,1,0,0,0,0,41,58,110,2,633,6,17,0,38,11,0
1333454400,885,93,792,0,8,7,0,0,0,0,0,40,41,109,1,461,5,16,0,39,10,0
1333458000,1255,366,889,0,8,7,1,0,0,0,0,40,24,110,1,561,7,17,0,39,10,0
1333461600,1109,89,1020,1,8,7,0,0,0,0,0,40,65,109,1,665,5,16,0,39,10,0
1333465200,1355,92,1263,0,23,7,1,0,0,0,0,40,30,110,1,679,7,18,0,38,10,0
1333468800,1433,92,1341,1,7,7,0,0,0,0,0,41,63,110,1,576,8,16,0,39,9,0
1333472400,648,91,557,0,7,7,1,0,0,0,0,40,34,106,2,44,5,17,0,39,10,0
1333476000,1193,92,1101,0,7,7,0,0,0,0,0,40,42,109,1,628,4,16,0,38,9,0
1333479600,1303,87,1216,1,7,7,1,0,0,0,0,40,46,109,1,860,5,17,0,39,10,0
1333483200,1315,82,1233,0,7,7,0,0,0,0,0,40,40,109,1,770,5,80,0,39,10,0
1333486800,1379,176,1203,1,7,7,1,0,0,0,0,40,47,109,1,619,6,128,0,38,9,0
1333490400,1656,393,1263,0,14,117,0,0,0,0,0,41,43,109,1,713,9,37,0,119,10,0
1333494000,2837,546,2291,0,13,348,1,0,0,0,0,40,97,105,2,36,14,46,0,175,10,1261
1333497600,2306,1595,711,0,8,177,1,0,0,0,0,39,22,105,1,36,6,20,0,40,10,18
1333501200,2858,1804,1054,10,8,278,0,0,0,0,0,40,75,104,1,36,15,23,0,38,9,0
1333504800,1490,299,1191,20,30,257,1,0,3,0,0,40,36,104,1,168,7,38,0,39,10,0
1333508400,1605,332,1273,8,42,141,0,0,27,0,0,40,64,108,1,489,17,22,0,39,9,0
1333512000,1671,104,1567,0,42,370,1,0,11,0,0,40,25,107,1,552,3,22,0,103,10,0
1333515600,1758,105,1653,0,7,333,0,0,2,0,0,40,56,109,2,650,4,19,0,262,10,0
1333519200,1601,229,1372,1,17,181,1,0,3,0,0,40,43,109,1,642,13,19,0,153,10,0
1333522800,1183,122,1061,0,8,7,0,0,7,0,0,40,25,109,1,735,6,19,0,39,10,0
1333526400,1324,92,1232,0,8,7,1,0,7,0,0,41,61,109,1,850,4,18,0,39,11,0
1333530000,1415,91,1324,1,8,7,0,0,7,0,0,40,32,111,1,982,5,20,0,38,10,0
1333533600,1345,87,1258,0,8,7,1,0,7,0,0,40,33,110,1,908,5,19,0,39,11,0
1333537200,1301,81,1220,1,7,7,0,0,5,0,0,41,64,110,2,841,6,17,0,39,10,0
1333540800,1258,82,1176,0,8,7,0,0,1,0,0,40,22,110,1,856,5,18,0,39,11,0
1333544400,1987,415,1572,0,8,7,1,0,0,0,0,40,43,111,1,1210,7,19,0,39,10,0
1333548000,1370,93,1277,1,8,8,0,0,0,0,0,40,48,110,1,927,5,17,0,39,11,0
1333551600,1307,88,1219,0,8,7,1,0,0,0,0,40,35,110,1,874,5,17,0,38,10,0
1333555200,592,81,511,0,8,7,0,0,0,0,0,41,41,106,1,169,7,19,0,39,10,0
1333558800,1282,83,1199,1,22,7,1,0,0,0,0,40,46,109,1,603,8,24,0,39,11,0
1333562400,582,92,490,0,11,7,0,74,0,0,0,40,67,105,2,36,7,18,0,39,10,0
1333566000,1104,93,1011,1,8,7,1,141,0,0,0,41,42,107,1,501,5,32,0,39,11,0
1333569600,738,93,645,0,8,7,0,0,0,0,0,40,45,106,1,125,6,95,0,39,9,0
1333573200,482,107,375,1,8,7,1,0,0,0,0,40,50,105,1,38,6,20,0,39,10,0
1333576800,851,345,506,0,8,7,0,0,0,0,0,41,42,106,1,167,7,18,0,40,9,0
1333580400,1667,621,1046,1,8,18,301,2,0,0,0,40,37,106,1,397,11,18,0,39,9,0
1333584000,3498,428,3070,0,38,7,2182,73,0,0,0,40,53,105,2,37,9,30,0,38,9,0
1333587600,663,181,482,1,16,7,0,20,0,0,0,40,60,105,1,36,7,18,0,39,9,0
1333591200,2063,104,1959,2,40,7,0,0,0,0,0,40,71,221,1,1074,10,18,0,40,9,6
1333594800,1666,106,1560,21,66,7,0,0,0,0,0,40,44,110,1,881,9,18,0,38,10,0
1333598400,3263,145,3118,1,51,37,2332,0,0,0,0,41,49,106,1,161,20,19,0,53,9,0
1333602000,1779,400,1379,0,38,333,245,0,0,0,0,40,45,107,1,36,12,17,0,261,9,0
1333605600,1167,272,895,0,11,266,0,0,0,0,0,40,48,107,2,39,5,18,0,213,9,0
1333609200,1055,93,962,0,8,8,0,0,0,0,0,41,40,110,1,632,5,18,0,39,9,0
1333612800,926,92,834,1,8,7,0,0,0,0,0,40,23,109,1,506,5,17,0,39,9,0
1333616400,1538,93,1445,0,8,8,1,0,0,0,0,40,67,112,1,1082,6,18,0,39,10,0
1333620000,1540,92,1448,0,7,8,0,0,0,0,0,41,22,112,1,1112,5,18,0,39,9,0
1333623600,925,90,835,1,8,8,0,0,0,0,0,40,44,109,1,500,5,17,0,39,9,0
1333627200,1608,81,1527,0,8,7,0,0,0,0,0,40,188,111,2,1029,6,18,0,39,9,0
1333630800,1642,424,1218,1,8,8,0,0,0,0,0,40,24,110,1,891,8,19,0,39,9,0
1333634400,1746,82,1664,0,7,8,1,0,0,0,0,41,45,110,1,965,5,17,0,39,9,0
1333638000,1492,81,1411,1,9,8,0,0,35,0,0,40,53,109,1,736,5,19,0,39,9,0
1333641600,729,90,639,0,8,7,0,0,20,0,0,40,35,107,1,143,10,18,0,40,10,0
1333645200,1139,90,1049,0,8,48,0,0,9,0,0,41,66,108,1,500,6,65,0,60,9,0
1333648800,1577,91,1486,0,8,332,1,0,5,0,0,40,21,108,2,592,4,19,0,269,9,0
1333652400,668,90,578,1,15,66,0,0,7,0,0,40,63,106,1,37,5,67,0,82,9,0
1333656000,497,78,419,0,60,7,0,0,9,0,0,41,28,106,1,37,5,23,0,39,9,0
1333659600,1208,77,1131,1,33,8,0,0,9,0,0,40,69,110,1,714,6,21,0,39,10,0
1333663200,924,540,384,0,9,8,1,0,8,0,0,40,34,106,1,38,12,18,0,40,9,0
1333666800,1066,125,941,1,8,7,0,0,5,0,0,40,47,109,2,573,9,19,0,38,9,0
1333670400,551,103,448,0,7,8,0,0,0,0,0,41,71,107,1,36,6,27,0,39,9,0
1333674000,767,96,671,0,8,7,0,0,0,162,0,40,29,107,1,37,13,78,0,39,10,0
1333677600,1119,92,1027,16,16,9,1,32,0,428,0,40,63,107,1,37,16,49,0,39,9,0
1333681200,1344,80,1264,0,57,202,0,148,0,174,0,40,29,106,1,37,13,18,0,148,9,0
1333684800,2135,81,2054,0,56,329,389,0,0,0,0,41,36,108,2,521,3,32,0,228,10,0
1333688400,2893,91,2802,1,12,286,1232,0,0,0,0,40,64,109,1,637,4,29,0,222,9,0
1333692000,2615,92,2523,0,8,8,1353,0,0,0,0,40,22,110,1,799,5,60,0,38,9,0
1333695600,1339,92,1247,1,8,8,0,0,0,0,0,41,45,112,1,846,5,61,0,39,9,0
1333699200,1300,84,1216,0,8,7,1,0,0,0,0,40,42,111,1,820,6,60,0,39,10,0
1333702800,1132,77,1055,0,8,8,0,0,0,0,0,41,42,110,1,675,5,60,0,39,9,0
1333706400,1239,88,1151,1,7,8,1,0,0,0,0,40,32,110,2,789,5,37,0,39,9,0
1333710000,1644,91,1553,0,8,7,0,0,0,0,0,41,54,113,1,1192,5,17,0,38,9,0
1333713600,1667,91,1576,0,8,8,1,0,0,0,0,41,26,113,1,1244,6,18,0,39,10,0
1333717200,1035,85,950,1,8,7,0,0,0,0,0,40,38,109,1,603,5,19,0,39,9,0
1333720800,1322,77,1245,0,7,8,0,0,0,0,0,40,64,110,1,885,5,18,0,39,9,0
1333724400,1792,86,1706,1,8,8,1,0,0,0,0,40,26,111,1,961,10,18,0,39,10,0
1333728000,1288,91,1197,0,12,7,0,0,0,0,0,40,82,110,1,754,9,19,0,38,9,0
1333731600,468,90,378,0,27,8,1,0,0,0,0,40,27,107,1,27,5,19,0,39,9,0
1333735200,506,85,421,1,59,7,0,0,0,0,0,39,38,106,2,37,5,17,0,39,10,0
1333738800,483,75,408,0,20,8,1,0,0,0,0,40,65,106,1,37,6,18,0,39,9,0
1333742400,1063,86,977,1,8,41,0,0,0,0,0,40,22,109,1,595,5,19,0,57,9,0
1333746000,1001,90,911,0,9,336,1,0,0,0,0,40,30,106,1,38,3,17,0,267,9,0
1333749600,861,91,770,0,8,231,0,0,0,0,0,41,79,107,2,39,5,18,0,167,10,0
1333753200,464,78,386,0,17,7,1,0,0,0,0,40,32,107,1,39,15,27,0,39,9,0
1333756800,637,79,558,1,8,8,0,0,0,0,0,40,68,106,1,37,10,15,0,38,9,0
1333760400,1053,90,963,3,18,30,1,70,5,0,0,39,40,147,1,381,12,17,0,39,10,0
1333764000,1043,159,884,8,45,7,0,108,4,0,0,40,75,106,1,37,12,20,0,39,9,0
1333767600,1837,117,1720,0,58,304,1,0,0,0,0,39,27,109,1,583,4,26,0,246,9,0
1333771200,1250,101,1149,1,38,334,0,0,0,0,0,40,26,106,2,38,12,18,0,272,10,0
1333774800,1740,96,1644,0,9,336,1,0,0,0,0,41,67,110,1,617,3,17,0,270,9,0
1333778400,2400,80,2320,0,19,28,1218,0,0,0,0,40,23,109,1,689,6,17,0,51,9,0
1333782000,1291,81,1210,0,7,7,0,0,0,0,0,41,44,111,1,858,5,17,0,38,9,0
1333785600,1398,92,1306,1,8,7,0,0,0,0,0,40,60,112,1,945,6,17,0,39,10,0
1333789200,1092,92,1000,0,8,7,0,0,0,0,0,42,30,110,2,660,5,18,0,39,9,0
1333792800,1051,88,963,1,8,7,0,0,0,0,0,40,25,110,1,629,6,16,0,38,9,0
1333796400,1736,76,1660,0,8,7,0,0,0,0,0,41,67,113,1,1289,5,19,0,39,10,0
1333800000,1385,86,1299,0,7,7,0,0,0,0,0,40,23,111,1,963,5,18,0,39,9,0
1333803600,1255,92,1163,1,8,7,0,0,0,0,0,40,44,111,1,809,5,17,0,38,9,0
1333807200,1615,91,1524,0,8,7,0,0,0,0,0,41,48,111,1,1004,7,18,0,39,10,0
1333810800,1289,85,1204,1,17,7,0,0,0,0,0,39,41,110,1,802,7,24,0,39,9,0
1333814400,1636,76,1560,0,46,222,0,0,0,0,0,40,66,110,1,766,5,18,0,191,9,0
1333818000,692,89,603,0,28,143,0,0,0,0,0,40,25,108,2,38,4,17,0,136,10,0
1333821600,1036,92,944,0,8,7,0,0,0,0,0,39,22,110,1,614,5,17,0,39,9,0
1333825200,495,90,405,1,8,8,0,0,0,0,0,40,66,107,1,37,6,17,0,38,9,0
1333828800,436,81,355,0,8,7,0,0,0,0,0,40,31,108,1,38,5,18,0,39,9,0
1333832400,453,77,376,0,8,7,0,0,0,0,0,40,35,108,1,38,6,17,0,39,10,0
1333836000,597,91,506,1,24,7,0,0,0,0,0,41,69,107,2,38,7,63,0,38,9,0
1333839600,682,91,591,0,12,39,0,0,0,0,0,41,28,108,1,37,5,25,0,227,9,0
1333843200,546,89,457,1,8,7,0,0,0,0,0,39,81,107,1,37,7,16,0,69,9,0
1333846800,515,74,441,6,8,54,0,0,0,0,0,40,23,108,1,38,8,16,0,39,10,0
1333850400,590,85,505,11,31,8,0,0,1,0,0,40,67,108,2,37,12,18,0,38,9,0
1333854000,1263,90,1173,0,47,326,0,0,29,0,0,39,21,107,1,37,16,18,0,256,9,0
1333857600,1320,89,1231,0,59,328,0,0,15,0,0,39,44,107,1,37,3,18,0,264,10,0
1333861200,1805,77,1728,0,16,334,0,0,7,0,0,40,47,111,1,661,4,37,0,261,9,0
1333864800,1295,81,1214,1,15,125,0,0,3,0,0,40,43,110,1,606,6,17,0,124,9,0
1333868400,1176,163,1013,0,8,7,0,0,0,0,0,40,37,111,2,666,5,17,0,39,10,0
1333872000,1125,128,997,1,8,7,0,0,0,0,0,41,48,111,1,656,6,18,0,38,9,0
1333875600,1198,100,1098,0,9,7,0,0,0,0,0,41,22,112,1,765,5,15,0,39,9,0
1333879200,1187,97,1090,0,8,7,0,0,0,0,0,42,66,111,1,731,6,16,0,39,10,0
1333882800,1272,87,1185,1,8,7,0,0,0,0,0,41,23,113,1,849,6,17,0,38,9,0
1333886400,1140,77,1063,0,8,7,0,0,0,0,0,40,25,111,1,741,5,16,0,39,9,0
1333890000,1448,94,1354,0,8,7,0,0,0,0,0,41,64,113,2,978,6,15,0,39,10,0
1333893600,1232,93,1139,1,8,8,0,0,0,0,0,40,22,112,1,811,5,20,0,39,9,0
1333897200,1498,91,1407,0,7,7,0,0,0,0,0,40,45,112,1,893,5,15,0,38,9,0
1333900800,1067,77,990,1,10,7,0,0,0,0,0,39,51,110,1,538,7,16,0,39,10,0
1333904400,478,84,394,0,8,7,0,0,0,0,0,40,45,108,1,37,16,28,0,39,9,0
1333908000,541,92,449,0,8,7,0,0,0,0,0,39,107,107,1,35,5,21,0,38,9,0
1333911600,545,91,454,1,8,7,0,0,0,0,0,39,115,108,2,36,4,16,0,39,10,0
1333915200,471,83,388,0,8,7,0,0,0,0,0,39,59,108,1,35,5,16,0,39,9,0
1333918800,444,74,370,1,8,7,0,0,0,0,0,40,37,108,1,36,5,18,0,38,9,0
1333922400,455,91,364,0,8,7,0,0,0,0,0,39,28,107,1,36,4,16,0,39,9,0
1333926000,478,90,388,0,8,7,0,0,0,0,0,39,62,108,1,36,5,16,0,39,10,0
1333929600,450,89,361,1,8,7,0,0,0,0,0,39,26,108,1,36,5,19,0,39,9,0
1333933200,474,73,401,0,8,7,0,0,0,0,0,39,64,108,2,36,5,16,0,38,9,0
1333936800,531,85,446,1,13,7,0,0,0,0,0,40,25,107,1,36,6,17,0,39,9,0
1333940400,1028,90,938,20,45,7,0,0,4,92,0,39,88,108,1,35,13,23,0,39,10,0
1333944000,1284,90,1194,4,59,173,0,0,3,290,0,39,21,107,1,35,15,17,0,143,9,0
1333947600,1443,76,1367,1,12,333,0,0,0,326,0,40,63,108,2,36,4,16,0,260,10,0
1333951200,1500,81,1419,0,9,336,0,0,0,1,0,41,40,112,1,434,4,18,0,255,9,0
1333954800,972,90,882,1,15,7,0,0,0,456,0,41,58,109,1,37,6,17,0,42,9,0
1333958400,971,91,880,0,8,7,0,0,0,2,0,42,33,112,1,542,6,15,0,38,10,0
1333962000,945,81,864,1,8,7,0,0,0,0,0,41,44,112,2,506,6,21,0,39,9,0
1333965600,634,76,558,0,8,7,0,0,0,0,0,41,43,110,1,226,6,15,0,38,9,0
1333969200,905,90,815,0,8,7,0,0,0,0,0,41,42,112,1,463,5,18,0,39,9,0
1333972800,1175,196,979,1,7,7,0,0,0,0,0,40,43,112,1,641,6,16,0,38,9,0
1333976400,1065,85,980,0,8,7,0,0,0,0,0,41,43,113,1,627,5,18,0,39,9,0
1333980000,1112,97,1015,0,8,7,0,0,0,0,0,39,42,112,1,665,5,15,0,38,9,0
1333983600,954,94,860,1,9,7,0,0,0,0,0,40,26,112,2,538,5,18,0,38,8,0
1333987200,1013,85,928,0,8,7,0,0,1,0,0,40,60,111,1,505,5,21,0,39,9,0
1333990800,907,76,831,0,8,7,0,0,28,0,0,39,76,109,1,20,9,19,0,38,9,0
1333994400,487,90,397,0,8,7,0,0,11,0,0,40,35,109,1,36,5,17,0,38,9,0
1333998000,499,91,408,0,7,30,0,0,1,0,0,39,37,109,1,36,5,19,0,52,9,0
1334001600,902,91,811,0,9,257,0,0,1,0,0,40,71,109,2,36,5,16,0,195,9,0
1334005200,735,76,659,0,58,7,0,0,0,0,0,39,31,109,1,37,5,20,0,222,9,0
1334008800,764,82,682,0,60,7,0,0,0,0,0,39,65,109,1,37,5,18,0,276,9,0
1334012400,854,281,573,0,30,7,0,0,0,0,0,40,56,109,1,38,12,69,0,63,9,4
1334016000,2501,386,2115,0,8,7,0,0,0,0,0,40,56,110,1,36,7,25,0,39,9,1672
1334019600,768,385,383,0,8,8,0,0,0,0,0,39,28,110,1,37,6,16,0,38,9,16
1334023200,1194,598,596,9,18,7,0,0,0,0,0,39,67,110,2,37,12,18,0,39,9,0
1334026800,1346,427,919,18,72,7,0,0,0,0,0,39,68,110,1,37,11,17,0,38,9,0
1334030400,1320,410,910,0,19,234,0,0,0,0,0,40,27,111,1,37,15,17,0,193,9,0
1334034000,1384,352,1032,0,7,336,0,0,0,0,0,40,64,111,1,38,8,19,0,255,9,0
1334037600,929,358,571,0,14,84,0,0,0,0,0,40,43,110,2,37,11,17,0,96,9,0
1334041200,624,231,393,0,7,7,0,0,0,0,0,41,43,112,1,38,6,21,0,39,9,0
1334044800,467,92,375,0,7,7,0,0,0,0,0,41,44,111,1,38,6,16,0,38,9,0
1334048400,461,90,371,0,7,7,0,0,0,0,0,42,21,112,1,38,6,18,0,39,9,0
1334052000,500,88,412,0,7,7,0,0,0,0,0,41,66,111,2,38,6,17,0,39,9,0
1334055600,445,87,358,0,7,7,0,0,0,0,0,41,27,111,1,39,5,17,0,39,9,0
1334059200,470,86,384,0,7,7,0,0,0,0,0,41,38,111,1,37,6,17,0,38,9,0
1334062800,1162,172,990,0,7,7,0,0,0,0,0,40,58,114,1,625,5,17,0,39,9,0
1334066400,1125,137,988,0,7,7,0,0,0,0,0,40,25,113,1,527,5,17,0,39,9,0
1334070000,743,238,505,0,7,7,0,0,0,0,0,40,45,111,2,38,12,16,0,38,9,0
1334073600,1354,467,887,0,7,7,0,0,0,0,0,41,49,114,1,538,7,18,0,39,9,0
1334077200,813,402,411,0,7,8,0,0,0,0,0,40,44,110,1,25,7,38,0,39,9,0
1334080800,570,182,388,0,7,7,0,0,0,0,0,40,66,111,1,36,5,16,0,38,9,0
1334084400,2404,2041,363,0,7,7,0,0,0,0,0,40,23,111,1,36,12,19,0,39,8,0
1334088000,729,343,386,0,7,7,0,0,0,0,0,40,56,110,2,36,5,26,0,39,9,0
1334091600,1432,1006,426,0,8,25,0,0,12,0,0,40,32,111,1,37,7,21,0,48,9,0
1334095200,1423,341,1082,0,7,302,0,0,18,0,0,40,61,111,1,36,6,37,0,208,9,0
1334098800,978,380,598,0,39,7,0,0,7,0,0,40,23,111,1,36,10,103,0,39,9,0
1334102400,1593,710,883,0,15,287,0,0,1,0,0,40,53,110,1,35,16,25,0,239,9,0
1334106000,1136,386,750,0,7,85,0,0,0,0,0,40,46,111,2,36,17,17,0,100,9,0
1334109600,1354,363,991,12,60,40,0,0,0,0,0,41,79,111,4,37,12,83,0,39,9,0
1334113200,1133,356,777,21,57,7,0,0,0,0,0,40,34,110,1,35,15,25,0,38,9,0
1334116800,1231,324,907,6,64,158,0,0,0,0,0,41,54,111,1,37,12,18,0,150,9,0
1334120400,1185,126,1059,0,12,337,0,0,0,0,0,40,43,111,1,36,3,18,0,273,9,0
1334124000,1112,93,1019,0,9,320,0,0,0,0,0,41,61,111,2,37,4,17,0,263,9,0
1334127600,494,93,401,0,16,8,0,0,0,0,0,41,27,111,1,37,6,19,0,44,9,0
1334131200,443,92,351,0,8,8,0,0,0,0,0,40,22,111,1,38,6,15,0,39,9,0
1334134800,498,92,406,0,7,7,0,0,0,0,0,41,62,111,1,38,6,16,0,39,9,0
1334138400,467,92,375,0,7,8,0,0,0,0,0,41,35,111,2,38,5,27,0,38,9,0
1334142000,1009,92,917,0,7,8,0,0,0,0,0,41,32,114,1,574,6,16,0,39,9,0
1334145600,1062,199,863,0,7,8,0,0,0,0,0,41,62,114,1,505,6,16,0,39,9,0
1334149200,1271,435,836,0,7,7,0,0,0,0,0,40,22,114,1,499,7,17,0,38,9,0
1334152800,535,95,440,0,7,8,0,0,0,0,0,40,48,110,1,74,5,16,0,39,9,0
1334156400,1170,88,1082,0,7,7,0,0,0,0,0,40,39,114,2,550,7,16,0,39,9,0
1334160000,501,86,415,0,21,8,0,0,0,0,0,40,70,111,1,32,7,20,0,38,9,0
1334163600,486,88,398,0,18,8,0,0,0,0,0,41,41,111,1,37,5,29,0,39,9,1
1334167200,1138,93,1045,0,27,7,0,0,0,0,0,40,58,112,1,366,6,22,0,39,9,0
1334170800,585,93,492,0,18,8,0,0,0,0,0,40,45,112,1,141,5,17,0,39,9,0
1334174400,621,91,530,0,53,7,0,0,0,0,0,41,23,112,2,38,5,21,0,38,9,0
1334178000,1045,92,953,0,44,8,0,0,0,0,0,40,71,114,1,445,6,17,0,39,9,0
1334181600,603,190,413,0,7,7,0,0,1,1,0,40,23,111,4,77,8,18,0,39,8,0
1334185200,2218,382,1836,0,7,280,0,0,6,381,0,41,73,113,1,465,15,17,0,263,10,0
1334188800,3415,1167,2248,1,7,35,0,0,3,378,0,40,40,110,1,35,11,22,0,67,9,1164
1334192400,1293,376,917,0,7,8,0,0,0,203,0,40,102,110,1,36,15,15,0,39,9,0
1334196000,1391,115,1276,19,48,26,0,71,13,0,0,40,179,110,2,36,9,30,0,39,9,0
1334199600,948,117,831,16,86,8,0,142,17,0,0,40,46,110,1,36,15,20,1,38,9,0
1334203200,1193,147,1046,0,36,254,0,0,5,0,0,40,22,111,1,97,7,21,0,228,9,0
1334206800,2001,580,1421,0,7,335,0,0,1,0,0,40,64,114,1,401,12,18,0,273,9,0
1334210400,1799,328,1471,0,7,336,0,0,1,0,0,40,43,115,2,461,5,17,0,279,9,0
1334214000,3402,94,3308,0,18,89,2746,0,0,0,0,41,22,112,1,38,5,19,0,100,8,0
1334217600,1080,94,986,0,7,7,26,0,0,0,0,41,63,116,1,582,6,33,0,39,9,0
1334221200,1046,94,952,0,7,7,0,0,0,0,0,40,39,116,1,597,6,17,0,39,9,0
1334224800,1057,174,883,0,7,7,0,0,0,0,0,41,24,116,1,558,6,16,0,38,9,0
1334228400,531,136,395,0,7,8,1,0,0,0,0,40,62,112,2,33,5,16,0,39,9,0
1334232000,1102,106,996,0,7,7,0,0,0,0,0,41,27,116,1,663,6,17,0,39,9,0
1334235600,1480,381,1099,0,7,7,0,0,0,0,0,40,34,116,1,745,8,18,0,38,9,0
1334239200,979,91,888,0,7,7,1,0,0,0,0,40,54,113,1,495,5,16,0,39,9,0
1334242800,593,90,503,0,7,7,0,0,0,0,0,40,28,112,1,179,5,16,0,39,9,0
1334246400,1118,87,1031,0,7,7,0,0,0,0,0,41,41,115,2,658,9,17,0,38,9,0
